State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Percent,Absolute,Percent,Absolute
Alabama,102.6,98.5,104.9,109.6,108.8,107.8,108.1,111.7,106.6,111.6,107.1,103.8,90.9,89.9,95.3,101.6,101.7,103.7,104.9,109.9,109.6,113.9,120.7,125.2,123.2,131.0,137.2,134.1,133.5,135.84,142.3,133.32,138.3,139.8,142.0,143.5,145.8,147.3,139.4,119.8,132.5,129.5,122.6,120.5,122.6,119.2,114.0,108.6,112.4,106.3,98.4,108.4,5.6%,5.7,10.1%,10.0
Alaska,11.3,12.6,13.4,12.5,12.8,14.5,16.0,18.0,19.5,17.5,17.4,17.0,23.9,25.9,28.6,29.0,31.4,29.7,30.2,33.3,33.9,34.5,35.8,35.7,35.5,40.0,41.1,41.2,42.2,42.86,43.6,42.55,42.7,42.9,46.2,47.5,45.4,43.7,39.1,37.3,37.1,37.1,36.2,34.0,33.9,35.0,33.4,33.7,34.5,34.3,36.0,38.9,242.5%,27.5,8.0%,2.9
Arizona,24.9,27.0,30.2,34.4,36.7,38.2,43.8,50.5,49.3,56.1,52.9,59.9,58.5,54.2,58.5,61.1,56.3,56.4,59.6,65.5,63.1,63.9,66.7,69.0,71.8,66.7,68.6,71.7,76.7,80.62,86.6,88.86,88.3,90.5,97.3,97.3,100.5,102.4,102.6,93.9,99.5,97.7,95.5,99.3,97.3,95.0,90.9,90.5,94.1,92.6,80.2,83.0,233.3%,58.1,3.6%,2.9
Arkansas,36.2,35.1,37.2,40.8,39.1,36.4,38.9,41.6,42.4,40.2,37.5,42.9,42.7,47.1,45.0,49.1,50.0,47.1,51.0,51.3,50.8,49.7,51.3,50.4,54.3,57.7,60.2,59.2,60.5,62.72,63.3,62.50,61.2,62.2,62.5,60.2,62.1,63.4,64.2,61.5,66.1,67.5,66.3,68.5,68.9,59.1,62.1,64.2,70.8,65.1,54.7,62.0,71.4%,25.8,13.3%,7.3
California,294.4,305.8,312.7,329.3,304.5,311.5,326.9,354.5,345.2,362.1,344.4,334.2,298.8,293.5,315.5,320.6,306.7,335.8,344.6,359.4,360.2,348.5,352.3,341.9,359.3,348.8,349.8,352.7,362.7,366.10,382.3,385.56,384.4,374.6,392.7,389.6,397.8,402.6,384.0,370.4,356.6,342.7,348.8,349.7,345.4,351.4,353.4,356.5,358.6,358.3,303.8,324.0,10.1%,29.7,6.7%,20.2
Colorado,43.0,43.6,47.5,51.1,50.5,51.8,55.1,58.3,58.4,58.9,58.9,57.8,59.0,57.2,60.9,61.5,60.7,61.4,63.8,65.0,66.5,67.7,68.7,72.4,73.0,73.1,76.0,76.2,78.4,80.46,85.5,93.30,91.6,91.0,93.5,95.8,96.6,99.3,97.4,93.3,95.9,92.5,91.2,92.1,92.8,91.3,88.4,88.8,90.1,91.7,79.9,85.4,98.5%,42.4,6.8%,5.5
Connecticut,47.8,45.9,47.2,48.6,45.4,41.7,43.4,43.1,44.0,42.0,40.1,35.4,35.4,34.8,38.0,37.9,39.5,39.7,42.2,43.7,40.4,39.6,40.0,38.0,37.4,36.7,39.4,42.3,39.9,41.17,42.8,41.57,40.0,43.0,44.7,43.9,40.9,40.1,37.7,36.0,36.4,35.0,34.3,34.6,35.0,36.3,34.1,33.9,37.4,36.6,33.8,36.6,-23.5%,-11.3,8.3%,2.8
Delaware,16.1,15.9,16.0,17.2,16.7,15.5,16.2,16.1,16.2,17.1,17.5,16.3,14.7,17.7,18.4,17.4,17.2,17.9,18.5,17.8,18.0,17.9,17.8,19.1,18.5,17.5,18.2,16.8,16.2,16.40,16.7,16.00,15.9,16.6,16.6,17.4,16.2,17.1,16.2,11.9,13.1,13.9,14.6,14.0,13.8,13.9,14.4,13.8,14.0,13.6,12.5,13.0,-19.3%,-3.1,3.9%,0.5
District of Columbia,13.6,11.9,11.3,11.9,9.8,7.9,7.7,7.9,7.5,6.0,5.2,4.7,5.2,5.0,5.2,4.7,5.2,5.0,4.9,5.0,4.4,4.4,4.4,4.5,4.5,4.4,4.4,4.3,4.1,4.14,4.3,4.08,4.2,4.0,4.0,3.9,3.2,3.4,3.1,3.2,3.2,3.1,2.6,2.8,3.0,3.0,2.8,2.6,2.9,2.8,2.4,2.5,-81.5%,-11.1,5.0%,0.1
Florida,104.4,111.5,121.7,132.2,124.3,125.9,134.5,138.2,146.1,153.4,155.8,156.1,140.0,146.1,143.7,152.4,163.4,174.0,183.9,188.2,187.5,188.4,190.7,193.5,201.2,206.8,212.5,217.8,230.3,229.81,239.1,237.39,241.2,246.5,257.1,260.0,259.1,256.7,238.5,224.7,245.5,232.4,227.0,227.0,233.0,237.4,238.8,238.4,242.0,233.6,207.7,226.3,116.9%,122.0,9.0%,18.6
Georgia,73.5,79.6,86.8,93.1,91.7,91.4,96.2,104.7,106.5,111.4,113.0,113.5,110.1,117.3,130.0,136.6,131.4,136.8,139.1,134.2,139.0,131.0,130.6,140.1,143.1,151.6,156.1,157.1,158.4,160.99,169.7,161.61,166.6,170.5,175.3,185.6,183.0,185.6,172.6,163.0,175.2,160.0,141.6,142.9,148.1,145.7,144.5,141.8,141.9,136.5,116.6,124.1,68.8%,50.6,6.5%,7.5
Hawaii,13.9,15.1,15.5,16.0,15.1,15.2,15.6,16.7,17.0,18.4,18.1,16.3,14.9,14.9,15.8,17.0,16.6,16.7,19.6,20.5,21.4,19.5,20.4,18.7,20.0,20.0,19.1,18.7,18.7,18.41,18.7,19.17,20.4,21.5,22.5,23.0,23.2,24.0,19.3,18.8,20.4,20.6,20.3,20.1,19.6,19.8,19.8,20.4,20.3,20.5,14.9,17.3,24.5%,3.4,16.2%,2.4
Idaho,10.2,11.1,11.6,12.0,12.1,13.1,12.9,12.9,13.3,13.3,11.2,10.2,9.7,9.6,9.8,9.9,9.8,10.0,10.6,11.2,11.3,12.0,11.3,12.4,12.5,13.3,13.8,13.8,14.0,14.90,15.7,15.58,15.0,14.5,15.7,15.8,15.8,16.3,15.5,15.2,16.3,16.0,15.8,17.2,16.8,18.0,18.3,18.7,19.0,20.1,19.4,20.5,100.2%,10.3,6.0%,1.2
